Date,Close,대비,등락률,Open,High,Low,Volume,거래대금,시가총액,상장주식수,RSI,RSI_9,OBV,MA5,MA20,MA60,OBV_20
2024-04-29,1957,25,1.32,1923,1983,1923,73829,169078755,21362284575,9308185,66.47767540751241,60.35205364626991,14878712,1954.8,1771.25,1623.0666666666666,14009686.3
2024-04-30,1970,13,0.65,2009,2009,1902,118643,268614590,21501907350,9308185,65.625,31.844380403458217,14997355,1969.2,1786.65,1620.65,14089145.5
2024-05-02,1902,-68,-3.46,2009,2013,1868,102317,228164765,20757252550,9308185,62.22067039106145,35.07936507936509,14895038,1955.6,1797.75,1617.6666666666667,14161068.15
2024-05-03,1919,17,0.9,1902,1940,1889,42194,94735855,20943416250,9308185,61.21863799283154,46.666666666666664,14937232,1936.0,1811.8,1614.9666666666667,14238593.8
2024-05-07,1932,13,0.67,1919,1945,1876,94170,211386035,21083039025,9308185,60.85383502170767,62.12871287128713,15031402,1936.0,1827.0,1612.8333333333333,14322175.3
2024-05-08,1957,25,1.32,1919,1996,1872,126087,287399085,21362284575,9308185,59.29270127915726,58.08219178082192,15157489,1936.0,1854.25,1613.8166666666666,14424691.55
2024-05-09,1936,-21,-1.09,1957,1974,1919,68651,156696690,21129579950,9308185,32.93556085918854,44.5859872611465,15088838,1929.2,1876.45,1619.65,14501026.9
2024-05-10,1842,-94,-4.85,1949,1949,1834,97189,212823720,20105679600,9308185,34.5,25.76177285318559,14991649,1917.2,1891.55,1629.0166666666667,14569402.95
2024-05-13,1859,17,0.93,1842,2094,1842,376448,865440595,20291843300,9308185,43.088235294117645,37.54266211604096,15368097,1905.2,1906.9,1637.6166666666666,14653993.6
2024-05-14,1945,86,4.59,1868,1983,1868,85713,193557290,21222661800,9308185,58.578052550231845,48.30508474576271,15453810,1907.8,1923.85,1646.8,14740145.7
2024-05-16,1983,38,1.97,1945,1996,1885,73438,167756660,21641530125,9308185,56.8438003220612,51.71503957783642,15527248,1913.0,1941.4,1656.6833333333334,14824707.2
2024-05-17,1906,-77,-3.87,1987,1996,1876,125708,280482565,20803793475,9308185,44.888178913738024,50.51546391752578,15401540,1907.0,1951.2,1666.2333333333333,14887831.2
2024-05-20,1851,-55,-2.91,1906,2004,1829,94245,206844240,20198761450,9308185,36.90851735015773,42.01877934272301,15307295,1908.8,1932.65,1674.3833333333334,14783077.55
2024-05-21,1812,-39,-2.07,1859,1910,1800,57227,121973730,19779893125,9308185,39.79591836734694,36.72566371681416,15250068,1899.4,1918.75,1681.1833333333334,14838555.35
2024-05-22,1893,81,4.47,1783,2047,1685,293596,645731979,20664170700,9308185,45.03105590062112,43.70078740157481,15543664,1889.0,1915.75,1690.1,14936580.2
2024-05-23,1846,-47,-2.48,1893,1932,1765,85641,188024020,20152220525,9308185,40.85545722713864,41.57303370786517,15458023,1861.6,1916.35,1698.8,15081717.35
2024-05-24,1825,-21,-1.15,1885,1893,1753,142405,299985860,19919515900,9308185,43.8985736925515,48.15618221258134,15315618,1845.4,1912.7,1707.4333333333334,15147874.9
2024-05-27,1996,171,9.35,1825,2021,1812,292403,659336970,21781152900,9308185,54.904458598726116,61.13821138211382,15608021,1874.4,1914.0,1718.8666666666666,15196992.5
2024-05-28,2107,111,5.56,2034,2154,1983,612443,1502834225,22991216950,9308185,59.90939977349943,62.65625,16220464,1933.4,1918.5,1731.8833333333334,15261822.3
2024-05-29,2320,213,10.12,2107,2388,1979,897470,2357025640,25318263200,9308185,66.9467787114846,70.67484662576688,17117934,2018.8,1937.9,1748.3,15377474.85
2024-05-30,2350,30,1.29,2341,2371,2175,262499,705375240,25644049675,9308185,69.16666666666667,78.90625,17380433,2119.6,1957.55,1765.3,15502560.9
2024-05-31,2324,-26,-1.09,2303,2341,2183,199244,526875680,25364804125,9308185,73.81422924901186,82.00270635994588,17181189,2219.4,1975.25,1781.45,15611752.6
2024-06-03,2388,64,2.75,2303,2478,2303,228250,638313330,26062918000,9308185,74.97639282341832,87.69633507853403,17409439,2297.8,1999.55,1798.4666666666667,15737472.65
2024-06-04,2341,-47,-1.96,2341,2452,2090,345891,908151860,25550967825,9308185,69.41176470588235,80.68493150684932,17063548,2344.6,2020.65,1813.1833333333334,15843788.45
2024-06-05,2401,60,2.55,2230,2452,2141,324809,864915320,26202540775,9308185,70.05758157389636,87.3485868102288,17388357,2360.8,2044.1,1826.6833333333334,15961636.2
2024-06-07,2205,-196,-8.17,2388,2388,2179,257806,678912450,24061658225,9308185,62.876830318690786,70.69716775599129,17130551,2331.8,2056.5,1839.3333333333333,16060289.3
2024-06-10,2205,0,0.0,2205,2260,2098,158055,405483140,24061658225,9308185,66.00361663652802,63.98929049531459,17130551,2308.0,2069.95,1852.8833333333334,16162374.95
2024-06-11,2124,-81,-3.68,2205,2205,2119,114806,288166135,23177380650,9308185,63.58885017421603,51.18549511854952,17015745,2255.2,2084.05,1865.7333333333333,16263579.75
2024-06-12,2290,166,7.83,2124,2320,2030,274670,701808435,24992476725,9308185,66.09894566098946,47.76119402985075,17290415,2245.0,2105.6,1881.9166666666667,16359695.65
2024-06-13,2375,85,3.72,2260,2431,2243,318562,870611345,25923295225,9308185,70.81038552321007,51.72413793103448,17608977,2239.8,2127.1,1893.0,16467454.0
2024-06-14,2047,-328,-13.82,2205,2205,1910,915174,2205196995,22339644000,9308185,57.03422053231939,36.5141187925998,16693803,2208.2,2130.3,1902.15,16525781.75
2024-06-17,2081,34,1.67,2047,2235,1987,268350,669816275,22711971400,9308185,52.94934073560027,34.60381143430291,16962153,2183.4,2139.05,1908.1833333333334,16603812.4
2024-06-18,2196,115,5.53,2081,2200,1966,296681,735531650,23968576375,9308185,53.07958477508651,43.1924882629108,17258834,2197.8,2156.3,1916.1333333333334,16701389.35
2024-06-19,2559,363,16.5,2179,2729,2179,1675241,5002634865,27924555000,9308185,57.492163009404386,55.77485380116959,18934075,2251.6,2193.65,1930.2166666666667,16885589.7
2024-06-20,2486,-73,-2.83,2507,2712,2426,679754,2034000630,27133359275,9308185,54.15140415140415,61.28514056224899,18254321,2273.8,2223.3,1944.2,17021122.55
2024-06-21,2780,294,11.84,2486,2806,2422,927686,2892184865,30344683100,9308185,61.96222455403988,68.6809616634178,19182007,2420.4,2270.0,1962.8,17207321.75
2024-06-24,2776,-4,-0.15,2763,2985,2691,589324,1954868180,30298142175,9308185,60.5092091007584,72.29822161422709,18592683,2559.4,2317.55,1980.35,17371175.0
2024-06-25,2955,179,6.45,2776,3019,2776,368636,1261152300,32252861025,9308185,65.52072800808898,72.54237288135593,18961319,2711.2,2365.5,2001.1833333333334,17538839.9
2024-06-26,2930,-25,-0.87,2942,2985,2699,306128,1029917370,31973615475,9308185,63.612969634585696,69.6113074204947,18655191,2785.4,2406.65,2022.25,17660576.25
2024-06-27,2721,-209,-7.13,2930,2942,2644,357115,1157866065,29693110150,9308185,63.190184049079754,76.00308641975309,18298076,2832.4,2426.7,2040.45,17719583.35
2024-06-28,2456,-265,-9.72,2678,2746,2452,542587,1612002470,26807572800,9308185,55.65060783430887,62.27897838899804,17755489,2767.6,2432.0,2053.6,17738336.15
2024-07-01,2631,175,7.12,2021,2699,1987,1853388,4991928410,28715750725,9308185,60.950323974082075,63.70510396975425,19608877,2738.6,2447.35,2069.75,17859720.55
2024-07-02,2857,226,8.59,2627,3019,2473,1015624,3292681500,31182419750,9308185,61.93684210526316,60.275862068965516,20624501,2719.0,2470.8,2089.366666666667,18020473.65
2024-07-03,2900,43,1.49,2814,2985,2772,494087,1662750580,33552590600,9868409,61.25160737248178,64.57746478873239,21118588,2713.0,2498.75,2110.4,18223225.65
2024-07-04,3305,405,13.97,2857,3318,2708,1063972,3874702595,38240084875,9868409,76.09958506224066,67.14565643370346,22182560,2829.8,2543.95,2138.35,18462935.8
2024-07-05,3185,-120,-3.61,3275,3390,3079,638866,2403761150,36858507615,9868409,72.11538461538461,62.41651487553127,21543694,2975.6,2592.95,2167.9,18683592.95
2024-07-08,3156,-29,-0.94,3185,3241,3109,356868,1326954750,36513113300,9868409,69.91701244813278,56.71342685370741,21186826,3080.6,2640.5,2195.633333333333,18886406.7
2024-07-09,3113,-43,-1.35,3100,3160,2908,423070,1511419735,36019692850,9868409,63.25358851674642,56.03960396039604,20763756,3131.8,2689.95,2221.85,19073807.25
2024-07-10,2776,-337,-10.82,3113,3232,2597,572427,1930530730,32121671295,9868409,56.159728122344944,51.673767498478384,20191329,3107.0,2714.25,2242.25,19218852.95
2024-07-11,2913,137,4.92,2776,2955,2725,250066,841610370,33700616735,9868409,53.02685480200273,65.08250825082509,20441395,3028.6,2741.15,2264.0333333333333,19360473.85
2024-07-12,2857,-56,-1.9,2913,3023,2695,239914,806788680,33059170150,9868409,51.800800355713655,58.0945558739255,20201481,2963.0,2781.65,2284.45,19535857.75
2024-07-15,2870,13,0.45,2857,3070,2669,524684,1751549980,33207196285,9868409,47.95967354776764,50.54945054945055,20726165,2905.8,2821.1,2303.7833333333333,19724058.35
2024-07-16,3015,145,5.05,2870,3326,2738,622932,2180547235,34884825815,9868409,51.92918747162959,54.47470817120623,21349097,2886.2,2862.05,2317.0,19928571.5
2024-07-17,2836,-179,-5.94,3092,3092,2814,347090,1181499565,32812459925,9868409,52.64611136677405,27.856468366383382,21002007,2898.2,2875.9,2329.4333333333334,20031968.1
2024-07-18,2554,-282,-9.92,2827,2900,2516,404378,1266193175,29555884955,9868409,52.23744292237443,24.16052416052416,20597629,2826.4,2879.3,2339.45,20149133.5
2024-07-19,2614,60,2.34,2554,2780,2554,336733,1054618595,30246673585,9868409,49.59036144578314,28.354632587859427,20934362,2777.8,2871.0,2352.45,20236751.25
2024-07-22,2635,21,0.82,2614,2789,2559,259931,811354410,30493383810,9868409,44.06417112299466,30.56910569105692,21194293,2730.8,2863.95,2364.733333333333,20366831.75
2024-07-23,2691,56,2.1,2635,2772,2610,220556,697710400,31134830395,9868409,44.45034519383962,45.521601685985246,21414849,2666.0,2850.75,2376.75,20489508.25
2024-07-24,2712,21,0.79,2665,2772,2588,176000,556182590,31381540620,9868409,30.220146764509664,37.935174069627855,21590849,2641.2,2839.85,2388.3333333333335,20636291.15
2024-07-25,2648,-64,-2.36,2644,2755,2516,109387,334374985,30641409945,9868409,31.392931392931388,37.574316290130795,21481462,2660.0,2836.2,2400.266666666667,20795460.45
2024-07-26,2448,-200,-7.57,2597,2640,2448,314060,926565905,28322333830,9868409,28.06691449814126,29.47470817120623,21167402,2626.8,2835.8,2408.45,20966056.1
2024-07-29,2307,-141,-5.75,2473,2507,2273,227433,625625555,26694046345,9868409,26.46028037383178,15.4296875,20939969,2561.2,2819.6,2414.0666666666666,21032610.7
2024-07-30,2546,239,10.35,2431,2716,2230,755614,2213923180,29457200865,9868409,42.874845105328376,36.62361623616236,21695583,2532.2,2804.05,2424.8,21086164.8
2024-07-31,2554,8,0.34,2559,2691,2431,432183,1291560570,29555884955,9868409,37.91245791245792,50.0,22127766,2500.6,2786.75,2435.383333333333,21136623.7
2024-08-01,2533,-21,-0.83,2584,2618,2443,308421,912382955,29309174730,9868409,38.827586206896555,44.74708171206226,21819345,2477.6,2748.15,2445.4,21118462.95
2024-08-02,2431,-102,-4.04,2533,2533,2345,295892,858624290,28124965650,9868409,35.73749187784276,38.02816901408451,21523453,2474.2,2710.45,2453.3,21117450.9
2024-08-05,1791,-640,-26.32,2388,2426,1753,387206,931774005,20723658900,9868409,19.911504424778755,18.66295264623956,21136247,2371.0,2642.2,2450.883333333333,21114921.95
2024-08-06,1893,102,5.71,1851,2094,1834,225020,517312860,21907867980,9868409,25.907000510986208,23.005932762030326,21361267,2240.4,2581.2,2451.733333333333,21144797.5
2024-08-07,1808,-85,-4.5,1893,1974,1748,330277,703406940,20921027080,9868409,28.806818181818187,22.69180754226268,21030990,2091.2,2532.8,2450.883333333333,21186780.55
2024-08-08,1727,-81,-4.48,1808,1825,1664,302450,603843763,19983528225,9868409,25.098259404828752,24.59478505990134,20728540,1930.0,2473.5,2447.25,21201137.8
2024-08-09,1753,26,1.48,1714,1808,1699,337636,690835688,20279580495,9868409,25.307950727883537,28.757668711656436,21066176,1794.4,2418.3,2443.4166666666665,21244372.55
2024-08-12,1791,38,2.19,1753,1825,1744,214014,446061580,20723658900,9868409,24.547511312217196,15.775158658204887,21280190,1794.4,2364.35,2441.5,21272073.8
2024-08-13,1705,-86,-4.81,1791,1834,1681,263917,532548771,19726949591,9868409,22.531369339879973,14.055884843353084,21016273,1756.8,2298.85,2439.0666666666666,21255432.6
2024-08-14,1731,26,1.55,1706,1748,1689,131597,265128242,20032870270,9868409,24.456824512534823,16.188870151770658,21147870,1741.4,2243.6,2437.7166666666667,21262725.75
2024-08-16,1731,0,0.0,1783,1821,1705,167080,342811505,20032870270,9868409,27.523510971786834,17.71217712177122,21147870,1742.2,2202.45,2435.016666666667,21290237.8
2024-08-19,1623,-108,-6.26,1765,1791,1620,220969,438527387,18779582327,9868409,28.10499359795135,34.78260869565217,20926901,1716.2,2152.9,2431.3,21289864.75
2024-08-20,1637,14,0.84,1653,1662,1611,135520,259667155,18937476871,9868409,16.005983545250572,22.41379310344827,21062421,1685.4,2103.0,2428.1666666666665,21283271.15
2024-08-21,1643,6,0.42,1637,1650,1556,151512,286315347,19016424143,9868409,15.88014981273409,28.57142857142857,21213933,1673.0,2050.6,2422.2833333333333,21273225.35
2024-08-22,1542,-101,-6.18,1670,1688,1512,251216,463681445,17842083472,9868409,14.982332155477039,27.160493827160494,20962717,1635.2,1992.1,2412.866666666667,21241818.75
2024-08-23,1464,-78,-5.09,1559,1562,1408,424600,737047627,16934189844,9868409,15.240833932422717,18.380743982494522,20538117,1581.8,1932.9,2398.6,21194651.5
2024-08-26,1632,168,11.54,1469,1661,1460,437514,791526545,18888134826,9868409,41.34929270946681,36.45655877342419,20975631,1583.6,1892.1,2386.633333333333,21185062.95
2024-08-27,1710,78,4.75,1635,1723,1585,281909,545731027,19786160045,9868409,39.77653631284916,50.43177892918825,21257540,1598.2,1862.25,2376.4,21200941.5
2024-08-28,1821,111,6.48,1723,1851,1698,389782,818075229,21069053215,9868409,50.70575461454939,56.77710843373493,21647322,1633.8,1826.0,2366.95,21198528.45
